অ	45
অঁ্যা	13
অংক	11
অংকে	6
অংকের	10
অংশ	463
অংশই	7
অংশকে	12
অংশগুলো	6
অংশগ্রহণ	29
অংশগ্রহন	9
অংশটা	54
অংশটি	13
অংশটুকু	7
অংশবিশেষ	4
অংশীদার	57
অংশুশিরা	5
অংশে	52
অংশের	13
অই	209
অইখানে	5
অইছে	4
অইটা	7
অইদিন	9
অউ	4
অও	20
অকথ্য	9
অকপটে	4
অকর্মা	20
অকর্মার	26
অকল্পনীয়	8
অকল্যান্ড	6
অকাজের	16
অকাতরে	5
অকারণে	4
অকারনে	4
অকার্যকর	6
অকাল	4
অকালে	4
অকৃতকার্য	4
অকৃতজ্ঞ	12
অকে	18
অকেজো	38
অক্কা	5
অক্টোপাস	8
অক্টোপাসের	4
অক্টোবর	15
অক্ষত	33
অক্ষম	22
অক্ষমতা	3
অক্ষর	32
অক্ষরগুলো	8
অক্ষরে	8
অক্ষরের	4
অক্সফোর্ড	14
অক্সফোর্ডে	4
অক্সাইড	4
অক্সিজেন	51
অক্সিজেনের	8
অখাদ্য	3
অগণিত	24
অগত্যা	5
অগাস্টাস	39
অগাস্টিন	7
অগাস্টিনের	4
অগো	5
অগোচরে	7
অগোছালো	10
অগোরে	4
অগ্নি	27
অগ্নিমূর্তি	8
অগ্নির	5
অগ্নিসংযোগ	4
অগ্রগতি	22
অগ্রগতির	5
অগ্রদূত	4
অগ্রসর	29
অগ্রহণযোগ্য	12
অগ্রাধিকার	26
অগ্রাহ্য	24
অগ্রিম	10
অঘটন	5
অঙ্কটা	5
অঙ্কন	8
অঙ্কিত	4
অঙ্কিতা	6
অঙ্কুর	21
অঙ্কুরিত	7
অঙ্কে	4
অঙ্কের	10
অঙ্গ	23
অঙ্গভঙ্গি	4
অঙ্গহানি	3
অঙ্গীকার	28
অঙ্গুষ্ঠ	6
অচপল	5
অচল	22
অচিরেই	11
অচিহ্নিত	3
অচেতন	8
অচেনা	54
অচেনাদের	5
অজ	72
অজনুর	16
অজয়	7
অজস্র	4
অজানা	68
অজানাকে	5
অজানার	5
অজানায়	4
অজান্তেই	10
অজি	27
অজুহাত	41
অজুহাতে	5
অজেয়	6
অজ্ঞ	8
অজ্ঞকে	3
অজ্ঞতা	12
অজ্ঞতার	4
অজ্ঞাত	26
অজ্ঞাতসারেই	4
অজ্ঞান	55
অজয়	45
অজয়কে	17
অজয়ের	14
